Color at (1490, 795): R=117, G=100, B=80
Color at (1490, 795): R=75, G=57, B=35
Color at (1490, 795): R=74, G=58, B=35
Color at (1490, 795): R=74, G=59, B=36
Color at (1490, 795): R=74, G=61, B=38
Color at (1490, 795): R=163, G=229, B=225
Color at (1490, 795): R=234, G=252, B=208
Color at (1490, 795): R=78, G=61, B=37
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=85, G=70, B=37
Color at (1490, 795): R=84, G=69, B=36
Color at (1490, 795): R=85, G=69, B=36
Color at (1490, 795): R=84, G=67, B=35
Color at (1490, 795): R=84, G=66, B=35
Color at (1490, 795): R=82, G=64, B=34
Color at (1490, 795): R=81, G=63, B=35
Color at (1490, 795): R=80, G=61, B=34
Color at (1490, 795): R=79, G=60, B=34
Color at (1490, 795): R=78, G=59, B=33
Color at (1490, 795): R=78, G=59, B=33
Color at (1490, 795): R=78, G=59, B=33
Color at (1490, 795): R=79, G=59, B=33
Color at (1490, 795): R=79, G=59, B=33
Color at (1490, 795): R=79, G=59, B=33
Color at (1490, 795): R=80, G=60, B=33
Color at (1490, 795): R=80, G=60, B=33
Color at (1490, 795): R=79, G=60, B=33
Color at (1490, 795): R=78, G=59, B=33
Color at (1490, 795): R=78, G=58, B=33
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=76, G=56, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=76, G=56, B=33
Color at (1490, 795): R=76, G=56, B=33
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=74, G=55, B=32
Color at (1490, 795): R=74, G=55, B=32
Color at (1490, 795): R=74, G=55, B=32
Color at (1490, 795): R=74, G=55, B=32
Color at (1490, 795): R=74, G=55, B=32
Color at (1490, 795): R=74, G=55, B=32
Color at (1490, 795): R=75, G=55, B=33
Color at (1490, 795): R=75, G=55, B=33
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=54, B=32
Color at (1490, 795): R=75, G=54, B=32
Color at (1490, 795): R=75, G=54, B=32
Color at (1490, 795): R=75, G=54, B=32
Color at (1490, 795): R=74, G=54, B=31
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=75, G=55, B=32
Color at (1490, 795): R=76, G=56, B=32
Color at (1490, 795): R=76, G=57, B=32
Color at (1490, 795): R=76, G=58, B=32
Color at (1490, 795): R=76, G=58, B=32
Color at (1490, 795): R=75, G=58, B=32
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=35
Color at (1490, 795): R=76, G=56, B=34
Color at (1490, 795): R=77, G=57, B=35
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=77, G=56, B=34
Color at (1490, 795): R=77, G=56, B=35
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=76, G=57, B=35
Color at (1490, 795): R=75, G=57, B=35
Color at (1490, 795): R=76, G=58, B=36
Color at (1490, 795): R=76, G=60, B=38
Color at (1490, 795): R=88, G=111, B=60
Color at (1490, 795): R=224, G=249, B=189
Color at (1490, 795): R=77, G=59, B=35
Color at (1490, 795): R=77, G=59, B=36
Color at (1490, 795): R=76, G=58, B=35
Color at (1490, 795): R=75, G=57, B=35
Color at (1490, 795): R=76, G=57, B=35
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=78, G=58, B=36
Color at (1490, 795): R=78, G=58, B=36
Color at (1490, 795): R=78, G=58, B=36
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=76, G=57, B=35
Color at (1490, 795): R=76, G=58, B=35
Color at (1490, 795): R=75, G=58, B=35
Color at (1490, 795): R=75, G=59, B=36
Color at (1490, 795): R=91, G=99, B=50
Color at (1490, 795): R=135, G=218, B=64
Color at (1490, 795): R=78, G=63, B=34
Color at (1490, 795): R=79, G=63, B=35
Color at (1490, 795): R=79, G=63, B=35
Color at (1490, 795): R=79, G=62, B=35
Color at (1490, 795): R=78, G=61, B=34
Color at (1490, 795): R=79, G=61, B=35
Color at (1490, 795): R=79, G=61, B=35
Color at (1490, 795): R=78, G=61, B=35
Color at (1490, 795): R=77, G=59, B=34
Color at (1490, 795): R=77, G=59, B=34
Color at (1490, 795): R=77, G=60, B=34
Color at (1490, 795): R=77, G=59, B=34
Color at (1490, 795): R=78, G=60, B=34
Color at (1490, 795): R=77, G=59, B=33
Color at (1490, 795): R=76, G=59, B=33
Color at (1490, 795): R=76, G=59, B=33
Color at (1490, 795): R=77, G=60, B=33
Color at (1490, 795): R=77, G=60, B=32
Color at (1490, 795): R=78, G=61, B=32
Color at (1490, 795): R=77, G=61, B=32
Color at (1490, 795): R=77, G=61, B=32
Color at (1490, 795): R=77, G=60, B=32
Color at (1490, 795): R=77, G=59, B=33
Color at (1490, 795): R=77, G=59, B=33
Color at (1490, 795): R=76, G=58, B=33
Color at (1490, 795): R=76, G=58, B=33
Color at (1490, 795): R=76, G=58, B=33
Color at (1490, 795): R=76, G=58, B=33
Color at (1490, 795): R=76, G=58, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=75, G=56, B=33
Color at (1490, 795): R=75, G=57, B=33
Color at (1490, 795): R=74, G=56, B=33
Color at (1490, 795): R=75, G=57, B=33
Color at (1490, 795): R=74, G=57, B=33
Color at (1490, 795): R=74, G=59, B=35
Color at (1490, 795): R=75, G=68, B=45
Color at (1490, 795): R=127, G=219, B=214
Color at (1490, 795): R=85, G=66, B=38
Color at (1490, 795): R=82, G=62, B=36
Color at (1490, 795): R=82, G=61, B=36
Color at (1490, 795): R=82, G=61, B=36
Color at (1490, 795): R=80, G=60, B=36
Color at (1490, 795): R=80, G=60, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=79, G=59, B=34
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=79, G=59, B=34
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=79, G=60, B=35
Color at (1490, 795): R=78, G=60, B=35
Color at (1490, 795): R=76, G=196, B=184
Color at (1490, 795): R=95, G=143, B=47
Color at (1490, 795): R=82, G=72, B=40
Color at (1490, 795): R=78, G=63, B=38
Color at (1490, 795): R=78, G=62, B=37
Color at (1490, 795): R=78, G=61, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=76, G=59, B=36
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=79, G=60, B=36
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=76, G=59, B=35
Color at (1490, 795): R=76, G=59, B=35
Color at (1490, 795): R=77, G=60, B=36
Color at (1490, 795): R=76, G=61, B=37
Color at (1490, 795): R=94, G=114, B=53
Color at (1490, 795): R=234, G=252, B=208
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=81, G=61, B=37
Color at (1490, 795): R=80, G=60, B=36
Color at (1490, 795): R=80, G=60, B=36
Color at (1490, 795): R=80, G=60, B=36
Color at (1490, 795): R=80, G=59, B=36
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=79, G=59, B=35
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=77, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=58, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=77, G=58, B=34
Color at (1490, 795): R=77, G=58, B=34
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=77, G=58, B=33
Color at (1490, 795): R=77, G=58, B=33
Color at (1490, 795): R=77, G=59, B=33
Color at (1490, 795): R=78, G=60, B=33
Color at (1490, 795): R=79, G=61, B=33
Color at (1490, 795): R=79, G=60, B=33
Color at (1490, 795): R=79, G=60, B=33
Color at (1490, 795): R=79, G=59, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=77, G=58, B=34
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=79, G=58, B=36
Color at (1490, 795): R=79, G=58, B=36
Color at (1490, 795): R=78, G=58, B=36
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=77, G=59, B=36
Color at (1490, 795): R=90, G=85, B=45
Color at (1490, 795): R=123, G=208, B=62
Color at (1490, 795): R=80, G=67, B=39
Color at (1490, 795): R=79, G=64, B=38
Color at (1490, 795): R=79, G=62, B=37
Color at (1490, 795): R=79, G=61, B=37
Color at (1490, 795): R=77, G=59, B=35
Color at (1490, 795): R=77, G=59, B=35
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=78, G=58, B=35
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=78, G=59, B=35
Color at (1490, 795): R=77, G=58, B=34
Color at (1490, 795): R=78, G=59, B=34
Color at (1490, 795): R=78, G=59, B=34
Color at (1490, 795): R=78, G=60, B=34
Color at (1490, 795): R=78, G=61, B=34
Color at (1490, 795): R=78, G=61, B=33
Color at (1490, 795): R=78, G=60, B=33
Color at (1490, 795): R=77, G=59, B=33
Color at (1490, 795): R=77, G=58, B=33
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=75, G=56, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=75, G=56, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=74, G=57, B=35
Color at (1490, 795): R=74, G=57, B=35
Color at (1490, 795): R=74, G=58, B=35
Color at (1490, 795): R=75, G=60, B=37
Color at (1490, 795): R=76, G=73, B=50
Color at (1490, 795): R=207, G=242, B=241
Color at (1490, 795): R=92, G=97, B=41
Color at (1490, 795): R=82, G=65, B=39
Color at (1490, 795): R=81, G=63, B=38
Color at (1490, 795): R=81, G=62, B=38
Color at (1490, 795): R=80, G=62, B=37
Color at (1490, 795): R=80, G=62, B=38
Color at (1490, 795): R=80, G=61, B=36
Color at (1490, 795): R=79, G=60, B=36
Color at (1490, 795): R=79, G=60, B=36
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=79, G=61, B=37
Color at (1490, 795): R=79, G=61, B=37
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=79, G=61, B=37
Color at (1490, 795): R=78, G=61, B=38
Color at (1490, 795): R=78, G=62, B=39
Color at (1490, 795): R=92, G=114, B=63
Color at (1490, 795): R=219, G=247, B=232
Color at (1490, 795): R=86, G=70, B=39
Color at (1490, 795): R=138, G=143, B=47
Color at (1490, 795): R=177, G=192, B=45
Color at (1490, 795): R=180, G=195, B=45
Color at (1490, 795): R=135, G=140, B=45
Color at (1490, 795): R=108, G=92, B=41
Color at (1490, 795): R=88, G=68, B=38
Color at (1490, 795): R=86, G=65, B=38
Color at (1490, 795): R=84, G=63, B=39
Color at (1490, 795): R=81, G=62, B=38
Color at (1490, 795): R=82, G=62, B=38
Color at (1490, 795): R=79, G=61, B=37
Color at (1490, 795): R=78, G=60, B=37
Color at (1490, 795): R=78, G=60, B=37
Color at (1490, 795): R=78, G=60, B=38
Color at (1490, 795): R=76, G=64, B=42
Color at (1490, 795): R=207, G=243, B=240
Color at (1490, 795): R=234, G=252, B=209
Color at (1490, 795): R=81, G=64, B=38
Color at (1490, 795): R=81, G=63, B=37
Color at (1490, 795): R=81, G=63, B=37
Color at (1490, 795): R=81, G=62, B=37
Color at (1490, 795): R=81, G=63, B=37
Color at (1490, 795): R=81, G=61, B=38
Color at (1490, 795): R=82, G=62, B=39
Color at (1490, 795): R=83, G=62, B=39
Color at (1490, 795): R=81, G=61, B=39
Color at (1490, 795): R=80, G=60, B=38
Color at (1490, 795): R=80, G=60, B=38
Color at (1490, 795): R=80, G=60, B=38
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=79, G=60, B=37
Color at (1490, 795): R=79, G=61, B=38
Color at (1490, 795): R=104, G=153, B=66
Color at (1490, 795): R=92, G=131, B=44
Color at (1490, 795): R=80, G=70, B=38
Color at (1490, 795): R=79, G=64, B=38
Color at (1490, 795): R=78, G=63, B=36
Color at (1490, 795): R=78, G=61, B=36
Color at (1490, 795): R=78, G=61, B=36
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=80, G=62, B=36
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=78, G=60, B=36
Color at (1490, 795): R=79, G=61, B=36
Color at (1490, 795): R=78, G=61, B=37
Color at (1490, 795): R=78, G=62, B=38
Color at (1490, 795): R=96, G=109, B=50
Color at (1490, 795): R=233, G=252, B=206
Color at (1490, 795): R=80, G=62, B=39
Color at (1490, 795): R=79, G=61, B=37
Color at (1490, 795): R=81, G=62, B=39
Color at (1490, 795): R=81, G=61, B=39
Color at (1490, 795): R=82, G=61, B=39
Color at (1490, 795): R=82, G=62, B=39
Color at (1490, 795): R=82, G=61, B=39
Color at (1490, 795): R=82, G=61, B=39
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=80, G=61, B=38
Color at (1490, 795): R=81, G=62, B=38
Color at (1490, 795): R=80, G=64, B=39
Color at (1490, 795): R=90, G=150, B=122
Color at (1490, 795): R=82, G=71, B=38
Color at (1490, 795): R=84, G=65, B=39
Color at (1490, 795): R=83, G=63, B=38
Color at (1490, 795): R=84, G=63, B=39
Color at (1490, 795): R=85, G=63, B=39
Color at (1490, 795): R=83, G=62, B=39
Color at (1490, 795): R=82, G=62, B=39
Color at (1490, 795): R=81, G=61, B=39
Color at (1490, 795): R=81, G=61, B=38
Color at (1490, 795): R=81, G=61, B=38
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=81, G=61, B=38
Color at (1490, 795): R=80, G=61, B=38
Color at (1490, 795): R=80, G=61, B=38
Color at (1490, 795): R=80, G=61, B=37
Color at (1490, 795): R=80, G=61, B=37
